일시,사용금액
2010-01-01,56398887
2010-02-01,54440020
2010-03-01,57782217
2010-04-01,55537175
2010-05-01,49199325
2010-06-01,68542898
2010-07-01,83587983
2010-08-01,103411427
2010-09-01,105335854
2010-10-01,55272851
2010-11-01,46048777
2010-12-01,54081005
2011-01-01,65059818
2011-02-01,57898606
2011-03-01,72568847
2011-04-01,65910520
2011-05-01,58374661
2011-06-01,68668526
2011-07-01,82233134
2011-08-01,89032983
2011-09-01,72635017
2011-10-01,53761298
2011-11-01,62739504
2011-12-01,49216987
2012-01-01,58297088
2012-02-01,50611810
2012-03-01,70708708
2012-04-01,51758706
2012-05-01,54784258
2012-06-01,58582666
2012-07-01,59872809
2012-08-01,85987279
2012-09-01,53548540
2012-10-01,35300537
2012-11-01,38953183
2012-12-01,59246873
2013-01-01,72941431
2013-02-01,54914967
2013-03-01,41847225
2013-04-01,49751260
2013-05-01,52193606
2013-06-01,47969333
2013-07-01,57957186
2013-08-01,62478989
2013-09-01,51275549
2013-10-01,52822139
2013-11-01,38036302
2013-12-01,53624433
2014-01-01,57859933
2014-02-01,43969762
2014-03-01,48887625
2014-04-01,49577410
2014-05-01,50763924
2014-06-01,48410336
2014-07-01,58759993
2014-08-01,74126605
2014-09-01,71625104
2014-10-01,50177870
2014-11-01,38576910
2014-12-01,67920031
2015-01-01,75544894
2015-02-01,50616361
2015-03-01,43212906
2015-04-01,42560482
2015-05-01,46149326
2015-06-01,48045029
2015-07-01,66659457
2015-08-01,69045233
2015-09-01,51892603
2015-10-01,65568676
2015-11-01,49011522
2015-12-01,51703626
2016-01-01,51662640
2016-02-01,51302145
2016-03-01,46831740
2016-04-01,46995877
2016-05-01,60889987
2016-06-01,58081219
2016-07-01,68090651
2016-08-01,86857914
2016-09-01,54123699
2016-10-01,46931978
2016-11-01,36308524
2016-12-01,43972254
2017-01-01,59857664
2017-02-01,41609583
2017-03-01,39554182
2017-04-01,36861957
2017-05-01,48859872
2017-06-01,50684718
2017-07-01,54638621
2017-08-01,58910963
2017-09-01,51276294
2017-10-01,43962029
2017-11-01,35916512
2017-12-01,35873126
2018-01-01,37139549
2018-02-01,29639629
2018-03-01,39282714
2018-04-01,35311570
2018-05-01,36058592
2018-06-01,40897759
2018-07-01,48529593
2018-08-01,64110274
2018-09-01,68119078
2018-10-01,45608697
2018-11-01,33955461
2018-12-01,38806507
2019-01-01,36363325
2019-02-01,31961982
2019-03-01,37853596
2019-04-01,33414062
2019-05-01,32525868
2019-06-01,35935788
2019-07-01,50637204
2019-08-01,46765101
2019-09-01,34958114
2019-10-01,41303377
2019-11-01,34021931
2019-12-01,34585453
2020-01-01,46878214
2020-02-01,36540423
2020-03-01,35120446
2020-04-01,38196221
2020-05-01,35991334
2020-06-01,48575665
2020-07-01,55481490
2020-08-01,52204107
2020-09-01,46024621
2020-10-01,36221020
2020-11-01,37740734
2020-12-01,44165627
2021-01-01,45802003
2021-02-01,45710711
2021-03-01,45894506
2021-04-01,40019235
2021-05-01,42268643
2021-06-01,46445021
2021-07-01,49953348
2021-08-01,48412663
2021-09-01,47093781
2021-10-01,38957196
2021-11-01,29367995
2021-12-01,39049678
2022-01-01,42512570
2022-02-01,33190450
2022-03-01,29713523
2022-04-01,27282589
2022-05-01,32328829
2022-06-01,41062668
2022-07-01,49800113
2022-08-01,42918408
2022-09-01,27768210
2022-10-01,23261359
2022-11-01,29610163
2022-12-01,28378386
