일시,사용금액
2010-01-01,77640736
2010-02-01,75477647
2010-03-01,85038128
2010-04-01,88930460
2010-05-01,101073739
2010-06-01,104408191
2010-07-01,114278275
2010-08-01,122745571
2010-09-01,122018719
2010-10-01,109157313
2010-11-01,99303537
2010-12-01,98050321
2011-01-01,98107463
2011-02-01,81112230
2011-03-01,97204076
2011-04-01,101258246
2011-05-01,112385388
2011-06-01,104058864
2011-07-01,114105676
2011-08-01,138187597
2011-09-01,143055002
2011-10-01,140441963
2011-11-01,133896543
2011-12-01,124301323
2012-01-01,127580024
2012-02-01,131613192
2012-03-01,123004390
2012-04-01,111817235
2012-05-01,140820163
2012-06-01,131998751
2012-07-01,146104584
2012-08-01,139821843
2012-09-01,146986940
2012-10-01,128488185
2012-11-01,119340241
2012-12-01,104181157
2013-01-01,118625488
2013-02-01,108914269
2013-03-01,129424678
2013-04-01,135940422
2013-05-01,165067850
2013-06-01,146140374
2013-07-01,165334009
2013-08-01,169490603
2013-09-01,174101702
2013-10-01,156932574
2013-11-01,136604688
2013-12-01,135137622
2014-01-01,140761348
2014-02-01,127479888
2014-03-01,143937758
2014-04-01,168366253
2014-05-01,162486823
2014-06-01,146139425
2014-07-01,183411872
2014-08-01,180679391
2014-09-01,192535127
2014-10-01,166082858
2014-11-01,146439915
2014-12-01,154355619
2015-01-01,156747952
2015-02-01,140507684
2015-03-01,175540083
2015-04-01,207650850
2015-05-01,194599522
2015-06-01,144605884
2015-07-01,202009448
2015-08-01,201983834
2015-09-01,205009440
2015-10-01,198191211
2015-11-01,163213781
2015-12-01,185607135
2016-01-01,178571950
2016-02-01,185383298
2016-03-01,196618828
2016-04-01,213920981
2016-05-01,215170585
2016-06-01,217308250
2016-07-01,236356726
2016-08-01,244816208
2016-09-01,291546102
2016-10-01,214864948
2016-11-01,233405747
2016-12-01,211277746
2017-01-01,212373517
2017-02-01,208643285
2017-03-01,223504227
2017-04-01,230344153
2017-05-01,238255215
2017-06-01,245946331
2017-07-01,261953896
2017-08-01,270233049
2017-09-01,289907141
2017-10-01,228694248
2017-11-01,235980995
2017-12-01,218141471
2018-01-01,231926489
2018-02-01,212219179
2018-03-01,242007548
2018-04-01,254591227
2018-05-01,253030676
2018-06-01,248210603
2018-07-01,303637079
2018-08-01,294033593
2018-09-01,271639579
2018-10-01,277371164
2018-11-01,266940394
2018-12-01,251154436
2019-01-01,262538146
2019-02-01,249348150
2019-03-01,269202951
2019-04-01,297631037
2019-05-01,307539152
2019-06-01,269653719
2019-07-01,309842481
2019-08-01,337376448
2019-09-01,327400020
2019-10-01,348296842
2019-11-01,323237027
2019-12-01,327202400
2020-01-01,308027980
2020-02-01,256710485
2020-03-01,255021810
2020-04-01,280943521
2020-05-01,306140225
2020-06-01,341166296
2020-07-01,362529644
2020-08-01,343979660
2020-09-01,360148310
2020-10-01,343862847
2020-11-01,325989641
2020-12-01,318544881
2021-01-01,292816527
2021-02-01,310361838
2021-03-01,378527948
2021-04-01,400760946
2021-05-01,364438996
2021-06-01,400926738
2021-07-01,427623785
2021-08-01,468423828
2021-09-01,483083982
2021-10-01,416027349
2021-11-01,395785715
2021-12-01,420448383
2022-01-01,388904576
2022-02-01,346827405
2022-03-01,395674307
2022-04-01,425566406
2022-05-01,448257342
2022-06-01,423945195
2022-07-01,464165668
2022-08-01,495302437
2022-09-01,465947809
2022-10-01,416668623
2022-11-01,421163846
2022-12-01,421893607
